0.000000000000000000e+00,1.561615908576302900e+03
1.000000000000000000e+00,2.461554726740652768e+03
2.000000000000000000e+00,2.389308783942127775e+03
3.000000000000000000e+00,1.582551370621639535e+03
4.000000000000000000e+00,7.997805961071471756e+02
5.000000000000000000e+00,5.239614941114592739e+02
6.000000000000000000e+00,1.310080362190757114e+03
7.000000000000000000e+00,2.324655818452880794e+03
8.000000000000000000e+00,2.477519051351344388e+03
9.000000000000000000e+00,1.803322912527792141e+03
1.000000000000000000e+01,1.098497459072202673e+03
1.100000000000000000e+01,5.428043751231630267e+02
1.200000000000000000e+01,9.908268673085906357e+02
